Fri Sep 24 2021 06:21:48 GMT-0400 (Eastern Daylight Time) - Run Time: 603ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of P/T workers in household - n_emp_pt


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_pt
  gta06_hhld    n_emp_pt      total
        6198           0       1385
        6198           1        197
        6198           2        102
        6198           3         49
        6199           0       2115
        6199           1        378
        6199           2        111
        6200           0         14
        6201           0        321
        6201           1         74
        6202           0        199
        6203           0        265
        6203           1        128
        6204           0        636
        6204           1        266
        6205           0        431
        6205           1          5
        6205           2         37
        6206           0        485
        6206           1         41
        6206           2         54
        6207           0        365
        6207           1        196
        6208           0         47
        6208           1         47
        6209           0         19
        6209           1         18
        6210           0         42
        6213           0        709
        6213           1        208
        6214           0         44
        6215           0         56
        6215           1         11
        6216           0        372
        6216           1         59
        6217           0       1319
        6217           1        168
        6218           0        706
        6218           1        245
        6218           2         33
        6218           3         35
        6219           0       1390
        6219           1        491
        6219           2         52
        6222           0       1244
        6222           1        421
        6222           2        112
        6223           0        662
        6223           1         88
        6223           2        138
        6224           0         57
        6225           0       1169
        6225           1        348
        6225           2         20
        6226           0       1673
        6226           1        428
        6226           2        107
        6226           3         48
        6227           0         25
        6227           1         57
        6228           0        500
        6228           1        130
        6229           0         70
        6229           1         20
        6230           0        603
        6230           1        203
        6231           0        139
        6231           1         18
        6232           0         16
        6232           1         13
        6233           0       1133
        6233           1        349
        6233           2         13
        6235           0       2257
        6235           1        415
        6235           2         99
        6235           3        107
        6236           0        952
        6236           1        456
        6236           3         48
        6240           2         25
        6244           0        192
        6244           1        104
        6244           3         45
        6247           0         13
        6248           0        309
        6248           1         31
        6248           2         40
        6249           0        570
        6249           1        112
        6249           2         98
        6250           0         51
        6250           1         65
        6252           0        672
        6252           1        273
        6252           2         97
        6252           3         13
        6253           0        268
        6253           1         30
        6253           2         28
        6254           0         59
        6254           1         16
        6255           0         94
        6256           0        365
        6256           1         28
        6256           2         16
        6257           0        701
        6257           1        219
        6257           2         81
        6259           0        303
        6259           1        130
        6259           2         40
        6260           0        559
        6260           1         41
        6261           0         58
        6262           0        237
        6262           1          5
        6262           2         19
        6263           0        397
        6263           1         69
        6265           0        154
        6265           1         28
        6266           0        642
        6266           1         44
        6267           0        803
        6267           1        138
        6267           2         16
        6268           0        945
        6268           1        369
        6268           2         47
        6269           0       1146
        6269           1        390
        6269           2         43
        6269           3         24
        6270           0        716
        6270           1         94
        6270           3         26
        6271           0        786
        6271           1         91
        6272           0        143
        6272           1         49
        6273           0        291
        6273           1         30
        6273           2         21
        6275           0       1207
        6275           1        176
        6275           2         74
        6275           3         54
        6276           0        252
        6276           1         85
        6278           0         33
        6278           1         65
        6279           0        107
        6279           2         33
        6280           0         99
        6280           1         10
        6281           0         21
        6282           0         98
        6282           1        113
        6283           0        157
        6284           0        172
        6284           1        108
        6285           0        667
        6285           1        245
        6286           0        962
        6286           1         84
        6288           0        540
        6288           1         35
        6288           2         76
        6289           0        885
        6289           1         32
        6289           2        129
        6290           0        952
        6290           1        274
        6290           2         10
        6291           0         68
        6291           1         18
        6292           0        403
        6292           1        121
        6294           0         80
        6294           1         21
        6296           0        583
        6296           1        152
        6297           0        260
        6297           1        142
        6299           0        458
        6299           1        246
        6300           0        317
        6300           1        169
        6301           0        600
        6301           1         93
        6302           0        121
        6302           1         37
        6303           0        303
        6303           1         96
        6304           0          6
        6306           0         16
        6306           3          5
        6307           0        454
        6307           1         66
        6308           0       1021
        6308           1        220
        6308           2        214
        6309           0        619
        6309           1         69
        6309           3         98
        6310           0        423
        6310           2         11
        6311           0         82
        6312           0        368
        6312           1         10
        6313           0         26
        6313           1         13
        6314           0         24
        6314           1         15
        6315           0        218
        6315           1         99
        6316           0        357
        6316           1         47
        6317           0        173
        6318           0         15
        6319           0         21
        6320           0        598
        6320           1         44
        6320           2         60
        6322           0        173
        6322           1         16
        6323           0         25
        6324           0        108
        6325           0        599
        6325           1        309
        6325           2         28
        6326           0        603
        6326           1         98
        6326           2         19
        6327           0         24
        6328           0         17
        6329           0          7
        6329           1         14
        6330           0        124
        6330           1         69
