Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        5186           3        119
        5186           4         93
        5186           5        182
        5187           1       1497
        5187           2        967
        5187           4         90
        5188           1        213
        5188           2         64
        5188           3        113
        5188           4        147
        5188           6         33
        5190           1         67
        5191           1        286
        5191           2        454
        5191           3        203
        5191           4        228
        5191           5         93
        5192           1        676
        5192           2        207
        5192           3         64
        5192           4        161
        5192           5         70
        5193           1         23
        5194           1        452
        5194           2        180
        5194           3        144
        5194           4         70
        5194           5         38
        5194           7         43
        5195           1        423
        5195           2        285
        5195           3         34
        5196           1        261
        5196           2        215
        5196           3        171
        5196           4        125
        5196           6         45
        5196           7         19
        5197           1         36
        5197           2         49
        5198           1         24
        5198           2         71
        5198           3         56
        5198           4         37
        5198           5         34
        5199           1        487
        5199           2         82
        5199           3        246
        5199           4         89
        5199           5         74
        5200           1        934
        5200           2        493
        5200           3        146
        5200           4         92
        5200           5         28
        5201           1        105
        5201           2         43
        5201           3         52
        5201           5        132
        5202           1        406
        5202           2        454
        5202           3         55
        5202           4        207
        5202           5        171
        5203           1        507
        5203           2        316
        5203           3        145
        5203           4        217
        5203           5         65
        5204           1        155
        5204           2        210
        5204           3         30
        5204           4        125
        5205           1        746
        5205           2        816
        5205           3        133
        5205           4        259
        5205           5         30
        5206           1        109
        5206           2        231
        5206           3         18
        5206           4         89
        5206           5        244
        5207           1        687
        5207           2        705
        5207           3        493
        5207           4         44
        5207           5         71
        5208           1        771
        5208           2        649
        5208           3        402
        5208           4        456
        5208           5        104
        5210           1         83
        5210           2         97
        5210           3         31
        5212           1        250
        5212           2        366
        5212           3        147
        5212           4         32
        5212           5         63
        5213           3         30
        5214           1         19
        5214           2         61
        5214           3         19
        5215           2         89
        5215           3         86
        5216           1        129
        5216           2        557
        5216           3         30
        5216           4        262
        5216           5         83
        5216           6        106
        5216           8        148
        5219           1        248
        5219           2        474
        5219           3         30
        5219           4         74
        5219           5         96
        5223           1         73
        5223           2        248
        5223           3         54
        5223           4        196
        5223           5         89
        5224           1        166
        5224           2        297
        5224           3        159
        5224           4         55
        5224           5         52
        5225           1         67
        5225           2        227
        5225           4         81
        5226           1         94
        5226           2        431
        5226           3        109
        5226           4        368
        5226           5        107
        5226           8         62
        5227           1         27
        5227           2        102
        5227           3         51
        5228           2         54
        5228           3         30
        5229           1        232
        5229           2        380
        5229           3        252
        5229           4        172
        5229           5        156
        5229           6         49
        5230           1        184
        5230           2        409
        5230           3        319
        5230           4        478
        5231           1        232
        5231           2        373
        5231           3        245
        5231           4         38
        5231           5        140
        5231           6         39
        5232           1        306
        5232           2        720
        5232           3        446
        5232           4        606
        5232           5         73
        5232           6         80
        5233           1        177
